"Module","Surface","Feature","What it does","User can do","Primary data / dependencies","Access","Status / caveat"
"Platform","UI/API","Role-based authentication","Supports finance user sessions with role checks across screens and endpoints.","Sign in and get role-gated access to workflows.","Local users, auth middleware, JWT/session flow.","Role-gated.","Implemented."
"Platform","API","Google login endpoint","Accepts Google ID token style login flow for later production use.","Authenticate via Google token endpoint when configured.","GOOGLE_CLIENT_ID for production verification.","Admin-configured.","Implemented; development fallback remains when Google client ID is not set."
"Platform","UI","Primary navigation","Organizes the app into Control Tower, Operate, and Control workspaces with sub-navigation.","Move between finance workflows from one header navigation.","Frontend tab definitions and role filters.","All signed-in users based on role.","Implemented."
"Platform","UI","Control Tower","Provides an executive cockpit with active work, issue counts, and shortcuts into finance workflows.","See source health, AR pressure, reimbursement backlog, and jump into the right workflow.","Dashboard KPIs, reconciliation summary, invoice data, QBO status.","Finance roles.","Implemented."
"Platform","UI","Global search filtering","Applies the global search query to major tables such as invoices, banking rows, payables, expenses, and ledger rows.","Search large registers without leaving the current workspace.","Frontend state searchQuery plus loaded dataset.","Finance roles.","Implemented."
"Platform","API","Health endpoint","Exposes a simple runtime health check for the service.","Check whether the app process is alive.","Express app runtime.","Open/local use.","Implemented."
"QuickBooks","UI/API","QuickBooks OAuth connect","Starts the Intuit OAuth flow and stores connection details.","Connect a QBO company to the ERP.","QBO client ID, secret, redirect URI, environment.","Admin/Accountant manage roles.","Implemented; production requires HTTPS deployment."
"QuickBooks","UI/API","QuickBooks callback + status","Completes OAuth and shows current realm, environment, redirect URI, and connection state.","Confirm whether QBO is connected and which environment is active.","QBO token store and status endpoint.","Finance roles read, finance managers manage.","Implemented."
"QuickBooks","UI","Production readiness check","Evaluates whether the current deployment can connect to live QBO OAuth.","See blockers for production QBO before attempting live auth.","APP_BASE_URL, QBO_REDIRECT_URI, QBO environment.","Finance roles.","Implemented."
"QuickBooks","UI/API","Full pull sync","Imports customers, chart of accounts, invoices, payments, and transaction objects into the ERP layer.","Run a source refresh from QBO.","Connected QBO realm and pull routines.","Finance managers.","Implemented; depends on live QBO connection."
